,title,author
40540,The Anatomy of Human Destructiveness,Erich Fromm
40544,Creating a World Without Poverty: Social Business and the Future of Capitalism,Muhammad Yunus
40545,Silent Partner,Jonathan Kellerman
40546,The Threat Within,Jude Watson 
40547,The Nanny,Melissa Nathan
40548,Khan: Empire of Silver,Conn Iggulden
40549,The Earl's Inconvenient Wife,Ruth Ann Nordin 
40557,Faery Tales & Nightmares,Melissa Marr 
40564,"Good Night, Gorilla",Peggy Rathmann
40566,Thinking in Pictures: My Life with Autism,Temple Grandin
40569,Tear,Rachel Van Dyken 
40570,Gateway to the Gods,Katherine Applegate
40571,Morality for Beautiful Girls,Alexander McCall Smith 
40572,"The Boys of Winter: The Untold Story of a Coach, a Dream, and the 1980 U.S. Olympic Hockey Team",Wayne Coffey
40575,The Last Man,Mary Wollstonecraft Shelley
40577,Hard to Love,Kendall Ryan 
40579,The Man in 3B,Carl Weber 
40580,Rascal,Sterling North
40582,Sweet Addiction,Maya Banks 
40583,The Secret in the Old Lace,Carolyn Keene
40584,The Courtship of the Vicar's Daughter,Lawana Blackwell 
40588,Mummy Told Me Not to Tell,Cathy Glass
40591,Of Love and Other Demons by Gabriel Garcia Marquez Summary Study Guide,BookRags
40592,The Billionaire's Curse,Richard Newsome 
40594,The Blood,D.J. MacHale 
40596,Marco's Redemption,Lynda Chance 
40599,"New and Selected Poems, Volume One",Mary Oliver
40601,House of Blades,Will Wight 
40602,The Dark Enquiry,Deanna Raybourn 
40604,Beautiful Creatures: The Manga,Kami Garcia 
40605,The Cross Centered Life: Keeping the Gospel the Main Thing,C.J. Mahaney
40606,"Heaven Is Here: An Incredible Story of Hope, Triumph, and Everyday Joy",Stephanie Nielson
40609,Power of Persuasion,Elizabeth Massie 
40610,Cutting Ties,Danielle Stewart 
40614,Shut Up and Kiss Me,Christie Craig 
40615,The Dating Detox,Gemma Burgess
40619,"All-Star Superman, Vol. 2",Grant Morrison
40621,Accidentally Dead,Dakota Cassidy
40622,A Step from Heaven,An Na
40624,Take Me,J. Kenner 
40625,A Dance of Blades,David Dalglish 
40626,One Small Thing,Piper Vaughn 
40632,For Love of Evil,Piers Anthony
40633,The Lost Heiress,Catherine Fisher
40637,Gansett After Dark,Marie Force 
40638,Bringing the Rain to Kapiti Plain: A Nandi Tale,Verna Aardema
40640,Full Fathom Five,Max Gladstone 
40641,Exposed,Laura Griffin 
40644,Ishmael,Barbara Hambly 
40647,In This House of Brede,Rumer Godden
40648,Layers,Sigal Ehrlich 
40649,Belle Cora,Phillip Margulies 
40651,Seasons of the Moon Boxed Set,S.M. Reine 
40653,The Unexpected Guest: Play (Acting Edition),Agatha Christie
40655,Journey to the West,Wu Cheng'en
40661,The Amish Bride,Mindy Starns Clark 
40662,Shallow,Georgia Cates 
40665,The 21 Indispensable Qualities of a Leader: Becoming the Person Others Will Want to Follow,John C. Maxwell
40671,Dangerous Minds,LouAnne Johnson 
40672,Submit,C.D. Reiss 
40673,"Fables: The Deluxe Edition, Book Three",Bill Willingham  (Writer)
40674,Don't Tempt Me,Sylvia Day 
40677,The Pagan Lord,Bernard Cornwell 
40678,Oz. The Marvelous Land of Oz,Eric Shanower 
40684,Drive,James Sallis
40685,Once Upon Stilettos,Shanna Swendson 
40688,Searching For Moore,Julie A. Richman 
40690,Richard Stark's Parker: Slayground,Darwyn Cooke
40691,Bitterroot,James Lee Burke
40692,Heaven's Prisoners,James Lee Burke
40694,The Fiery Trial,Cassandra Clare 
40695,"Goodbye, Dearest Holly",Kevin Wells 
40696,Toms River: A Story of Science and Salvation,Dan Fagin 
40697,Ominous,Kate Brian
40699,Until the End,London Miller 
40700,Beautiful Bad Man,Ellen O'Connell 
40704,A Bright Red Scream: Self-Mutilation and the Language of Pain,Marilee Strong
40705,Empire of Gold,Andy McDermott
40707,I Want My Hat Back,Jon Klassen
40711,Patrimony,Philip Roth
40714,Trillium,Jeff Lemire
40715,"D.Gray-man, Vol. 10",Katsura Hoshino
40717,Exposed,Deborah Bladon 
40718,God Save the Queen,Kate Locke 
40719,Andre the Giant: Life and Legend,Box Brown 
40720,The Post-American World,Fareed Zakaria
40722,May You Be the Mother of a Hundred Sons: A Journey Among the Women of India,Elisabeth Bumiller
40723,The Forgotten Sisters,Shannon Hale 
40729,The Plumed Serpent,D.H. Lawrence
40734,Lost World,Kate L. Mary 
40736,Did You Ever Have a Family,Bill Clegg 
40738,The Pocket Watch,Ceci Giltenan 
40739,The Gardener,Rabindranath Tagore
40740,Tomboy: A Graphic Memoir,Liz Prince 
40741,Waiting for the Magic,Patricia MacLachlan
40744,Riven Rock,T. Coraghessan Boyle 
40745,Beating the Street,Peter Lynch
40747,The Mind and the Brain: Neuroplasticity and the Power of Mental Force,Jeffrey M. Schwartz
40748,Where I Belong,J. Daniels 
40751,Junkyard Dogs,Craig Johnson
40754,The Children of Green Knowe,Lucy M. Boston
40760,Trailer Trash,Marie Sexton 
40765,First Lady,Susan Elizabeth Phillips 
40766,The Collected Stories of Stefan Zweig,Stefan Zweig
40769,Cleopatra,H. Rider Haggard
40770,The Two-Ocean War,Samuel Eliot Morison
40772,"The Wicked + The Divine, Vol. 1: The Faust Act",Kieron Gillen
40774,The Bad Death of Eduard Delacroix,Stephen King 
40775,The Death House,Sarah Pinborough 
40776,Chosen by God,R.C. Sproul
40777,A Fairly Honourable Defeat,Iris Murdoch
40782,Ilse Witch,Terry Brooks 
40783,The Day the Crayons Came Home,Drew Daywalt
40786,The Paris Winter,Imogen Robertson 
40787,Always the Bridesmaid,Lindsey Kelk 
40788,The Hidden Cottage,Erica James 
40789,The Gold-Bug and Other Tales,Edgar Allan Poe
40794,The End of Harry Potter?,David Langford
40795,India Black and the Shadows of Anarchy,Carol K. Carr 
40797,Breaking the Rules,Lucy Score 
40798,Those Who Hunt the Night,Barbara Hambly 
40800,A Joseph Campbell Companion: Reflections on the Art of Living,Joseph Campbell (Author)
40802,The Resolution of Callie and Kayden,Jessica Sorensen 
40803,City of Orphans,Avi
40811,The Measure of a Man: A Spiritual Autobiography,Sidney Poitier
40815,"The Magical Worlds Of Harry Potter: A Treasury Of Myths, Legends And Fascinating Facts",David Colbert 
40816,Dirty Rich,Amelia Wilde 
40817,Demon,Mikhail Lermontov
40820,The Queen's Blade,T.C. Southwell
40821,Naughty Amelia Jane!,Enid Blyton
40825,Son of a Trickster,Eden Robinson
40826,I Want to Eat Your Pancreas,Yoru Sumino
40827,Rain Reign,Ann M. Martin
40828,Mark of the Plague,Kevin Sands 
40830,Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan
40831,The Hungry Moon,Ramsey Campbell
40834,Bone Music,Christopher Rice 
40836,The Zodiac Legacy: The Dragon's Return,Stan Lee
40840,Split Second,David Baldacci 
40847,The Golden House,Salman Rushdie
40849,Reign of the Fallen,Sarah Glenn Marsh 
40851,Halo: The Cole Protocol,Tobias S. Buckell 
40852,Parallel,Elizabeth O'Roark 
40864,A Dangerous Collaboration,Deanna Raybourn 
40866,The School For Good and Evil: The Ever Never Handbook,Soman Chainani 
40873,The Dead Father,Donald Barthelme
40874,"Chibi Vampire, Vol. 02",Yuna Kagesaki
40877,Marketing Warfare,Al Ries
40878,Witch Ball,Linda Joy Singleton 
40882,The Lady in Blue,Javier Sierra 
40883,Swimming Without a Net,MaryJanice Davidson 
40885,Borden Chantry,Louis L'Amour
40889,My Lady of Cleves,Margaret Campbell Barnes
40890,One of Ours,Willa Cather
40891,2nd Chance,James Patterson 
40892,A Rush of Wings,Kristen Heitzmann 
40895,Shackles of Honor,Marcia Lynn McClure 
40897,Comfort Me with Apples: More Adventures at the Table,Ruth Reichl (Editor)
40898,Cupcake,Rachel Cohn
40901,"Gravitation, Volume 03",Maki Murakami
40902,Warriors: Cats of the Clans,Erin Hunter
40903,The Talisman,Lynne Ewing
40905,A Fountain Filled with Blood,Julia Spencer-Fleming 
40908,Open Secrets,Alice Munro
40909,East of the Sun & West of the Moon,Mercer Mayer
40911,The Children,David Halberstam
40912,My Own Country: A Doctor's Story,Abraham Verghese 
40915,The Yellow House,Patricia Falvey 
40916,Caboose Mystery,Gertrude Chandler Warner
40919,I Burn for You,Susan Sizemore
40920,The Taste of Night,Vicki Pettersson 
40921,Blood of Angels,Michael Marshall
40923,Intrigues,Mercedes Lackey
40929,Game Over,Adele Parks 
40932,Sir Thursday,Garth Nix 
40933,The Vampire and the Virgin,Kerrelyn Sparks 
40934,The Darling Buds of May,H.E. Bates
40935,The School Story,Andrew Clements
40936,Edward's Eyes,Patricia MacLachlan
40937,Confessions of a Failed Southern Lady: A Memoir,Florence King
40943,The Higher Power of Lucky,Susan Patron
40944,Truth in the Dark,Amy Lane 
40948,Falling From Grace,S.L. Naeole 
40951,Sparrow Road,Sheila O'Connor 
40954,The Cat Who Dropped a Bombshell,Lilian Jackson Braun
40955,Madhouse,Rob Thurman 
40956,Brian's Winter,Gary Paulsen
40957,Grey Wolves,Robert Muchamore
40958,The Essential Ellison: A 35-Year Retrospective,Harlan Ellison
40959,The Continental Op,Dashiell Hammett
40960,My Invented Country: A Nostalgic Journey Through Chile,Isabel Allende 
40962,"Everything Ravaged, Everything Burned",Wells Tower
40965,The Rhetoric of Fiction,Wayne C. Booth
40966,Deep as the Marrow,F. Paul Wilson 
40970,The Deerslayer,James Fenimore Cooper
40971,"New X-Men, Volume 7: Here Comes Tomorrow",Grant Morrison (Writer)
40973,The Silver Mage,Katharine Kerr 
40974,Sword-Breaker,Jennifer Roberson 
40975,Remembered,Tamera Alexander 
40976,Cowboy Casanova,Lorelei James 
40978,To Conquer Mr. Darcy,Abigail Reynolds 
40979,Scandal's Bride,Stephanie Laurens 
40983,Stone Cold,Robert B. Parker
40984,Betrothed,Morgan Rice 
40989,Lectures to My Students,Charles Haddon Spurgeon
40990,The Courtesan,Susan Carroll 
40994,Poems,Mihai Eminescu
40997,The Meeting Place,Janette Oke
40998,Invincible Summer,Hannah Moskowitz 
41000,The Philosopher's Pupil,Iris Murdoch
41002,Touching Evil,Kay Hooper
41003,Paper Covers Rock,Jenny Hubbard 
41005,Mormon Scientist: The Life and Faith of Henry Eyring,Henry J. Eyring
41006,Mommywood,Tori Spelling
41007,Murder List,Julie Garwood 
41009,Bryant & May Investigate the Victoria Vanishes,Christopher Fowler
41015,Mastering the Art of French Cooking,Julia Child
41018,Goblin Market,Christina Rossetti
41019,The Social Construction of Reality: A Treatise in the Sociology of Knowledge,Peter L. Berger
41020,The Dust of 100 Dogs,A.S. King 
41022,Where We Stand: Class Matters,Bell Hooks
41024,Rose of No Man's Land,Michelle Tea
41025,Cleopatra's Moon,Vicky Alvear Shecter 
41026,"Fables, Vol. 15: Rose Red",Bill Willingham  (Writer)
41029,Chances,Freya North 
41031,This Is Not a Drill,Beck McDowell 
41032,Flash for Freedom,George MacDonald Fraser
41035,I Was Jane Austen's Best Friend,Cora Harrison
41037,The Shattered Peace,Jude Watson 
41038,The Last War: A World Set Free,H.G. Wells
41044,The River Between,Ngũgĩ wa Thiong'o
41045,"Imadoki!: Nowadays, Vol. 1",Yuu Watase
41052,Cents And Sensibility,Maggie Alderson 
41053,City of the Falling Sky,Joseph Evans 
41055,The Captain's Daughter,Alexander Pushkin
41057,A Long Way from Chicago,Richard Peck
41058,Unbreak Me,Lexi Ryan 
41062,Winkie,Clifford Chase
41064,Sweet Possession,Maya Banks 
41065,The Kachina Doll Mystery,Carolyn Keene
41067,The Widow of Larkspur Inn,Lawana Blackwell 
41069,Too Late to Say Goodbye: A True Story of Murder and Betrayal,Ann Rule
41072,The Black,D.J. MacHale 
41074,Model Home,Eric Puchner
41075,"Dragon Ball Z, Vol. 1: The World's Greatest Team",Akira Toriyama
41076,The January Dancer,Michael Flynn
41077,Unlocked,Karen Kingsbury 
41080,The Hunter's Moon,O.R. Melling 
41082,The Mark of Zorro,Johnston McCulley
41083,I Have a Dream: Writings and Speeches That Changed the World,Martin Luther King Jr.
41086,To Catch a Bad Guy,Marie Astor 
41087,Mumbo Jumbo,Ishmael Reed
41088,Herland,Charlotte Perkins Gilman
41093,Tommo and Hawk,Bryce Courtenay
41094,Rogue,Danielle Steel
41095,An Utterly Impartial History of Britain or 2000 Years of Upper Class Idiots In Charge,John O'Farrell
41097,Heavy Issues,Elle Aycart 
41099,Tangled Extra Scenes,Emma Chase 
41100,Cherry Girl,Raine Miller 
41102,Fifty Shades Duo: Fifty Shades Darker / Fifty Shades Freed,E.L. James 
41106,Let It Go,Mercy Celeste 
41108,The Castle Corona,Sharon Creech
41110,Freeing,E.K. Blair 
41111,Darkness,Joann I. Martin-Sowles 
41112,The Dark City,Catherine Fisher
41113,Find Me,Romily Bernard 
41118,M.C. Escher: The Graphic Work,M.C. Escher
41121,Into Darkness,J.T. Geissinger 
41122,Loving,Henry Green
41123,Unspeakable,Laura Griffin 
41124,Do What You Are : Discover the Perfect Career for You Through the Secrets of Personality Type,Paul D. Tieger
41127,Broken Souls,Stephen Blackmoore 
41128,The Elusive Pimpernel,Emmuska Orczy
41129,New Moon Summer,S.M. Reine 
41130,Premeditated,Josin L. McQuein 
41131,The Story of Me,Lesley Jones 
41132,Music of the Soul,Katie Ashley 
41133,Born Under a Million Shadows,Andrea Busfield 
41138,The Museum of Intangible Things,Wendy Wunder
41141,The Battle of Jericho,Sharon M. Draper 
41142,Silent Honor,Danielle Steel
41145,Number Thirteen,Bella Jewel
41147,The Unsettling of America: Culture and Agriculture,Wendell Berry
41148,Reckless,Priscilla West 
41149,Ripped,Katy Evans 
41151,Tease,C.D. Reiss 
41154,Savage Drift,Emmy Laybourne 
41158,Passion for the Game,Sylvia Day 
41160,Veil of Night,Linda Howard
41162,Grace's Guide: The Art of Pretending to Be a Grown-up,Grace Helbig
41163,Sapphire Skies,Belinda Alexandra
41164,Shella,Andrew Vachss 
41166,Damsel Under Stress,Shanna Swendson 
41167,Encyclopedia of an Ordinary Life,Amy Krouse Rosenthal
41169,Jacked,Tina Reber 
41172,Dixie City Jam,James Lee Burke
41176,Bitter of Tongue,Cassandra Clare 
41177,Something Upstairs,Avi
41178,Courting Miss Hattie,Pamela Morsi 
41179,A Framework for Understanding Poverty,RuK. Payne
41181,"Psyren, Vol. 1: Urban Legend",Toshiaki Iwashiro
41182,Sing My Name,Ellen O'Connell 
41183,The Rabbi's Cat,Joann Sfar
41185,The Cult of Osiris,Andy McDermott
41188,The Sacred Lies of Minnow Bly,Stephanie Oakes 
41190,The National Parks: America's Best Idea,Dayton Duncan
41191,A Dash of Magic,Kathryn Littlewood
41192,"D.Gray-man, Vol. #2",Katsura Hoshino
41194,"Close Your Eyes, Hold Hands",Chris Bohjalian 
41195,Peanut Goes to School,Thea Harrison 
41196,The Future of Freedom: Illiberal Democracy at Home and Abroad,Fareed Zakaria
41197,How to Betray a Dragon's Hero,Cressida Cowell (With)
41198,Forgotten Sins,Rebecca Zanetti 
41200,Nemesis,Philip Roth
41201,Gifted Touch,Melinda Metz 
41202,The Book of Everything,Guus Kuijer
41204,The Long Weekend,Veronica Henry 
41209,The Numberlys,William Joyce 
41210,Satin Island,Tom McCarthy
41211,Lindsey's Rescue,Michelle Howard 
41213,Golden Fox,Wilbur Smith
41218,Back Spin,Harlan Coben 
41225,Twisted Bond,Emma Hart 
41226,A Court of Thorns and Roses Coloring Book,Sarah J. Maas 
41229,The Other Side of Silence,Philip Kerr
41230,Dark Space,Lisa Henry 
41231,Great Tales of Horror,H.P. Lovecraft
41236,Fancy Pants,Susan Elizabeth Phillips 
41240,Night Journey,Stephen King 
41246,Swordbird,Nancy Yi Fan
41248,The Queen and the Cure,Amy Harmon 
41253,The Chosen One,Sam Bourne
41254,Half a Chance,Cynthia Lord
41257,Crossing the Line,Lucy Score 
41261,Seth & Greyson,Jessica Sorensen 
41262,Sunny Side Up,Jennifer L. Holm 
41264,What a Girl Wants,Lindsey Kelk 
41269,Tea for Two and a Piece of Cake,Preeti Shenoy 
41270,Bad Judgment,Meghan March 
41273,The Sailor on the Seas of Fate,Michael Moorcock
41275,Embrace,S.E. Hall 
41277,Final Girls,Riley Sager 
41281,"Alone With the Horrors: The Great Short Fiction, 1961-1991",Ramsey Campbell
41282,God Country,Donny Cates
41284,What Is Real?: The Unfinished Quest for the Meaning of Quantum Physics,Adam Becker 
41288,The Batman Who Laughs,Scott Snyder 
41291,The Ungrateful Refugee,Dina Nayeri 
41293,Tied with Me,Kristen Pro
41295,SEAL Team Six: Memoirs of an Elite Navy SEAL Sniper,Howard E. Wasdin
41296,Intersect,Elizabeth O'Roark 
41304,A Treacherous Curse,Deanna Raybourn 
41307,Groupie,C.M. Stunich 
41308,Faked,Karla Sorensen 
41312,"Chibi Vampire, Vol. 03",Yuna Kagesaki
41313,In the Aeroplane Over the Sea,Kim Cooper 
41316,Little Witch,Anna Elizabeth Bennett
41317,"Fire Within: Teresa of Avila, John of the Cross and the Gospel - On Prayer",Thomas Dubay
41319,The Unthinkable Thoughts of Jacob Green,Joshua Braff 
41320,Weapons of Choice,John Birmingham 
41322,Michael Collins: The Man Who Made Ireland,Tim Pat Coogan 
41327,The Tale of Tom Kitten,Beatrix Potter
41328,Death and Restoration,Iain Pears
41330,The Pesthouse,Jim Crace
41332,The Sand Pebbles,Richard McKenna
41335,Autobiography of a Spiritually Incorrect Mystic,Osho
41340,Shrimp,Rachel Cohn
41341,"Gravitation, Volume 02",Maki Murakami
41342,The Becoming,Lynne Ewing
41345,Firehorse,Diane Lee Wilson
41351,"Battle Angel Alita, Volume 07: Angel Of Chaos",Yukito Kishiro
41352,Tree House Mystery,Gertrude Chandler Warner
41355,Empires of the Indus: The Story of a River,Alice Albinia
41356,Cheat the Grave,Vicki Pettersson 
41357,Bad Things,Michael Marshall Smith 
41358,Warren Buffett Speaks: Wit and Wisdom from the World's Greatest Investor,Janet Lowe
41360,Eating The Cheshire Cat,Helen Ellis
41364,Full Moon,Rachel Hawthorne
41369,Egil's Saga,Snorri Sturluson
41372,Be My Baby,Susan Andersen 
41377,The Serpent Prince,Elizabeth Hoyt 
41378,The Cat Who Went Bananas,Lilian Jackson Braun
41379,Secret Army,Robert Muchamore
41380,Sidetracked,Henning Mankell
41381,The Mane Squeeze,Shelly Laurenston
41382,The Lace Reader,Brunonia Barry 
41384,The Great Good Thing,Roderick Townley
41386,Rowan and the Keeper of the Crystal,Emily Rodda 
41388,"Sin City, Vol. 7: Hell and Back",Frank Miller
41390,The Rebellion of Jane Clarke,Sally Cabot Gunning 
41391,Sword-Maker,Jennifer Roberson 
41393,Shadowcry,Jenna Burtenshaw 
41395,A Rake's Vow,Stephanie Laurens 
41398,Bookends,Jane Green 
41400,Darwin's Children,Greg Bear
41401,Zofloya,Charlotte Dacre
41403,Made in America,Bill Bryson
41404,Rainbow High,Alex Sanchez 
41407,Possessions,Nancy Holder 
41410,Light in Shadow,Jayne Ann Krentz 
41413,Amphigorey,Edward Gorey
41416,The Mango Season,Amulya Malladi 
41420,For Your Own Good: Hidden Cruelty in Child-Rearing and the Roots of Violence,Alice Miller
41421,It's Not the End of the World,Judy Blume 
41422,"Forgive Me, I Meant to Do It: False Apology Poems",Gail Carson Levine 
41424,The Earth,Émile Zola
41426,Until the End,Christopher Pike
41427,God King: A Story in the Days of King Hezekiah,Joanne Williamson
41431,Suicide: A Study in Sociology,Émile Durkheim
41435,Storm Runners,Roland Smith
41437,Fen,Freya North 
41438,Double or Die,Charlie Higson
41440,The Bromeliad Trilogy,Terry Pratchett
41441,Skippyjon Jones and the Big Bones,Judy Schachner
41442,Covet,Melissa Darnell 
41444,The Only Witness,Jude Watson 
41445,Scandalous,Ella Steele (Pseudonym)
41447,An Undeniable Rogue,Annette Blair 
41454,The Vampire's Warden,S.J. Wright 
41457,"Kamichama Karin, Vol. 01",Koge-Donbo*
41458,The Book of Jhereg,Steven Brust 
41459,If God Was a Banker,Ravi Subramanian 
41462,The Golden Acorn,Catherine Cooper
41465,Resonate: Present Visual Stories that Transform Audiences,Nancy Duarte 
41470,The Magician of Lublin,Isaac Bashevis Singer
41474,Sweet Temptation,Maya Banks 
41475,The Twin Dilemma,Carolyn Keene
41481,Hidden,Cathy Glass
41482,Clockwork,Philip Pullman
41483,Quarantine,Jim Crace
41484,Sarah's Quilt,Nancy E. Turner
41486,Don't Kiss Them Good-bye,Allison DuBois
41487,Coming Home,Karen Kingsbury 
41488,The Chance,Karen Kingsbury 
41490,The Eternal Kiss: 13 Vampire Tales of Blood and Desire,Trisha Telep (Editor)
41492,"The House of Rothschild, Vol 1: Money's Prophets, 1798-1848",Niall Ferguson
41494,Catching the Bad Guy,Marie Astor 
41497,The Impossibility of Tomorrow,Avery Williams 
41499,The Accidental Genie,Dakota Cassidy
41500,Holy Frigging Matrimony,Emma Chase 
41501,Scorched,Melody Anne 
41502,The Mystery of the UFO,David A. Adler
41505,The Adventure of the Solitary Cyclist (Sherlock Holmes),Arthur Conan Doyle
41507,In From the Cold,Mercy Celeste 
41509,Wielding a Red Sword,Piers Anthony
41510,Magic Dreams,Ilona Andrews 
41513,Falling,E.K. Blair 
41515,Panic,Sharon M. Draper 
41518,Where the Stars Still Shine,Trish Doller 
41520,The Party,Katie Ashley 
41522,Not Just Friends,Jay Northcote 
41524,Untraceable,Laura Griffin 
41528,Deadly Descendant,Jenna Black 
41529,Harvest Hunting,Yasmine Galenorn 
41531,Linked,Imogen Howson 
41532,Gotham: A History of New York City to 1898,Edwin G. Burrows
41535,Indian Killer,Sherman Alexie
41538,The Amish Midwife,Mindy Starns Clark 
41540,Autobiography and Other Writings,Benjamin Franklin
41546,Silence Once Begun,Jesse Ball 
41548,Beg,C.D. Reiss 
41550,The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View,Richard Tarnas
41551,The Rising: Antichrist is Born,Tim LaHaye
41552,The Master of Go,Yasunari Kawabata
41554,A Passion for Him,Sylvia Day 
41557,Oz: Ozma of Oz,Eric Shanower 
41562,Last Car to Elysian Fields,James Lee Burke
41563,A Stained White Radiance,James Lee Burke
41567,Fly Away,Kristin Hannah 
41569,"Dragon Ball, Vol. 1: The Monkey King",Akira Toriyama
41570,Secrets of a Charmed Life,Susan Meissner 
41572,In the Beginning,London Miller 
41574,Ghost Rider: Travels on the Healing Road,Neil Peart
41575,"My Wicked, Wicked Ways: The Autobiography of Errol Flynn",Errol Flynn
41577,The Lost Relic,Scott Mariani 
41578,Big Stone Gap,Adriana Trigiani 
41582,The Chimes,Anna Smaill 
41583,The One Tree,Stephen R. Donaldson
41584,Illusive,Emily Lloyd-Jones 
41588,Sandkings,George R.R. Martin
41589,Jack Glass,Adam Roberts
41591,Pia Saves the Day,Thea Harrison 
41593,Through Waters Deep,Sarah Sundin 
41595,From Texas with Love,Dan Gutman
41596,Olivia and the Fairy Princesses,Ian Falconer
41597,Blue Mars,Kim Stanley Robinson
41598,The Cell Phone Swap,Lindsey Summers
41599,The Finkler Question,Howard Jacobson
41600,Meet Me in the Dark,J.A. Huss
41602,They Came on Viking Ships,Jackie French
41604,Until Series,Aurora Rose Reynolds 
41608,October Baby,Eric Wilson 
41613,The Trinity Six,Charles Cumming
41615,Selected Poems and Four Plays,W.B. Yeats
41624,Shadow Divers,Robert Kurson 
41625,God Help the Child,Toni Morrison
41627,Vows,LaVyrle Spencer
41631,Big Sur and the Oranges of Hieronymus Bosch,Henry Miller
41633,The Hearing Trumpet,Leonora Carrington
41634,"The Green Mile, Part 6: Coffey on the Mile",Stephen King 
41635,"A Season with Verona: Travels Around Italy in Search of Illusion, National Character . . . and Goals!",Tim Parks 
41636,Skinny,Donna Cooner 
41638,The Skin Collector,Jeffery Deaver 
41644,The Single Girl's To-Do List,Lindsey Kelk 
41648,Bringing it to the Table: On Farming and Food,Wendell Berry
41649,Astonishing X-Men Omnibus,Joss Whedon (Text)
41650,Children's Songbook,The Church of Jesus Christ of Latter-day Saints
41653,Like a Velvet Glove Cast in Iron,Daniel Clowes
41654,Behind the Bars,Brittainy C. Cherry 
41655,The Burning Sky,Sherry Thomas 
41657,The Last Second Chance,Lucy Score 
41661,A Small Place,Jamaica Kincaid
41664,My Sweetest Escape,Chelsea M. Cameron 
41671,The Last Dance and Other Stories,Victoria Hislop
41674,My Mortal Enemy,Willa Cather
41678,The Weird of the White Wolf,Michael Moorcock
41679,"Gmorning, Gnight!: Little Pep Talks for Me & You",Lin-Manuel Miranda
41680,Secret Seven Win Through,Enid Blyton
41681,Entice,S.E. Hall 
41683,Monkey Beach,Eden Robinson
41684,An Imperfect Witch,Debora Geary 
41685,The Sleeper and the Spindle,Neil Gaiman 
41692,Mr. Mayfair,Louise Bay 
41693,Treason: Liberal Treachery from the Cold War to the War on Terrorism,Ann Coulter
41700,Beneath the Citadel,Destiny Soria 
41701,Masters at Arms & Nobody's Angel,Kallypso Masters 
41704,The Defiant Heir,Melissa Caruso 
41706,Tarnished Crown,Erin Watt 
41707,Ellie's Story,W. Bruce Cameron 
41711,Aftermath,Chuck Wendig 
41712,Riot House,Callie Hart 
41717,Devious Lies,Parker S. Huntington 
41718,A Piece of the World,Christina Baker Kline 
41719,"Strobe Edge, Vol. 4",Io Sakisaka
41722,Cleopatra VII: Daughter of the Nile - 57 B.C.,Kristiana Gregory 
41723,"Chibi Vampire, Vol. 04",Yuna Kagesaki
41724,Heartfire,Orson Scott Card
41725,Oh My Stars,Lorna Landvik 
41729,Jane and the Man of the Cloth,Stephanie Barron
41730,Burnt Orange: Color Me Wasted,Melody Carlson
41734,Giant,Edna Ferber
41736,Blood Dreams,Kay Hooper
41738,In Enemy Hands,David Weber
41739,Seedfolks,Paul Fleischman
41740,A Year in Provence,Peter Mayle
41741,How to Hear from God: Learn to Know His Voice and Make Right Decisions,Joyce Meyer
41742,"Gravitation, Volume 01",Maki Murakami
41743,The Final Eclipse,Lynne Ewing
41744,Private Demon,Lynn Viehl
41745,Death Angel,Linda Howard
41747,Affluenza: The All-Consuming Epidemic,John De Graaf
41750,Dragon's Fire,Anne McCaffrey
41754,"Battle Angel Alita, Volume 08: Fallen Angel",Yukito Kishiro
41755,Can't Stop Won't Stop: A History of the Hip-Hop Generation,Jeff Chang 
41757,The Three Cornered World,Natsume Sōseki
41758,Midnight Run,Lisa Marie Rice 
41759,In Country,Bobbie Ann Mason
41760,Wellbeing: The Five Essential Elements,Tom Rath 
41762,Just a Dream,Chris Van Allsburg
41763,Dancing on the Wind,Mary Jo Putney
41766,Forty Words for Sorrow,Giles Blunt
41767,Secret Life of a Vampire,Kerrelyn Sparks 
41773,They Do It with Mirrors,Agatha Christie
41775,Deceit,Brandilyn Collins 
41776,Leaving,Karen Kingsbury 
41779,"MeruPuri, Vol. 2",Matsuri Hino
41780,The Cat Who Had 60 Whiskers,Lilian Jackson Braun
41781,Roadkill,Rob Thurman 
41782,Eagle Day,Robert Muchamore
41783,Murder With Peacocks,Donna Andrews 
41784,A Chair for My Mother,Vera B. Williams
41786,Tristessa,Jack Kerouac
41787,America,E.R. Frank
41789,Rowan and the Ice Creepers,Emily Rodda 
41790,The Astronaut's Wife,Robert Tine
41794,Lying Awake,Mark Salzman
41795,Cabel's Story,Lisa McMann 
41796,Sword-Singer,Jennifer Roberson 
41797,The Secret Country,Pamela Dean
41798,Cowgirls Don't Cry,Lorelei James 
41800,Titanic's Last Secrets: The Further Adventures of Shadow Divers John Chatterton and Richie Kohler,Bradford Matsen
41801,On a Wild Night,Stephanie Laurens 
41802,The Tears of Autumn,Charles McCarry
41807,The Mermaid Garden,Santa Montefiore
41812,Hunger Untamed,Pamela Palmer
41815,Freefall,Kristen Heitzmann 
41816,Aquamarine,Alice Hoffman 
41817,Real Mermaids Don’t Wear Toe Rings,Helene Boudreau 
41819,Eclipse Bay,Jayne Ann Krentz 
41820,Final Jeopardy,Linda Fairstein 
41821,The Mouse and His Child,Russell Hoban
